,open,high,low,close,volume
2018-07-18,55.07,55.55,53.71,53.86,8751814.0
2018-07-19,54.12,54.6,53.57,53.87,7287518.0
2018-07-20,54.08,54.24,52.36,54.04,7635386.0
2018-07-23,54.04,54.04,52.31,52.95,11008849.0
2018-07-24,53.16,55.21,52.74,55.08,13458162.0
2018-07-25,55.3,55.39,54.18,54.67,7316450.0
2018-07-26,54.39,54.83,53.7,53.84,5838462.0
2018-07-27,53.67,54.45,53.07,53.88,5715674.0
2018-07-30,53.88,53.88,52.6,52.87,6568182.0
2018-07-31,52.87,53.4,52.51,52.66,4574066.0
2018-08-01,52.81,53.1,50.77,51.2,7851198.0
2018-08-02,51.0,51.0,47.57,48.79,17199223.0
2018-08-03,48.6,48.79,46.67,46.67,12911509.0
2018-08-06,46.78,47.34,44.86,46.34,11312584.0
2018-08-07,46.32,47.57,45.9,47.2,9479903.0
2018-08-08,46.98,47.07,44.91,45.01,11926466.0
2018-08-09,44.98,47.21,44.76,46.77,12191853.0
2018-08-10,46.64,48.22,46.07,47.04,13287709.0
2018-08-13,46.4,46.4,44.99,45.92,10573646.0
2018-08-14,46.39,46.91,46.0,46.61,8993243.0
2018-08-15,46.61,46.66,44.29,44.69,12935223.0
2018-08-16,44.09,44.77,42.54,42.61,13872049.0
2018-08-17,43.31,43.59,42.01,42.29,10280322.0
2018-08-20,42.68,43.24,41.7,43.23,10719161.0
2018-08-21,43.28,45.17,43.09,44.94,13444902.0
2018-08-22,44.53,44.72,43.82,44.06,8010642.0
2018-08-23,44.28,44.72,43.48,43.96,7853516.0
2018-08-24,44.47,44.47,42.6,43.38,9724839.0
2018-08-27,43.68,45.34,43.67,45.22,12793992.0
2018-08-28,45.22,45.22,43.35,43.7,19281667.0
2018-08-29,43.33,43.94,42.76,43.58,11030686.0
2018-08-30,43.37,43.91,42.62,42.8,9380596.0
2018-08-31,42.55,42.55,41.15,41.31,16184287.0
2018-09-03,40.87,41.46,40.65,41.36,8008943.0
2018-09-04,41.62,41.8,40.61,41.51,9942373.0
2018-09-05,41.51,41.51,40.26,40.34,8580517.0
2018-09-06,39.88,40.56,38.4,39.11,17499628.0
2018-09-07,39.27,39.89,38.85,39.36,11217044.0
2018-09-10,39.36,39.87,38.59,39.43,8824862.0
2018-09-11,39.32,40.09,39.02,39.23,8767794.0
2018-09-12,39.3,39.58,38.4,39.14,9093264.0
2018-09-13,39.64,39.86,37.97,38.64,11009381.0
2018-09-14,38.61,39.9,37.94,39.67,15106989.0
2018-09-17,39.3,39.86,38.51,38.76,11527017.0
2018-09-18,38.51,40.81,38.46,40.66,14609921.0
2018-09-19,40.6,43.57,40.59,42.52,25996955.0
2018-09-20,42.54,43.47,42.38,43.0,13482503.0
2018-09-21,43.23,45.36,43.23,45.35,18017053.0
2018-09-25,44.99,45.25,43.78,44.26,14175451.0
2018-09-26,44.37,46.1,44.27,45.09,25202865.0
2018-09-27,44.89,45.88,44.29,45.59,15004266.0
2018-09-28,45.55,45.97,45.24,45.55,9064209.0
2018-10-08,44.29,44.72,42.64,42.67,13534582.0
2018-10-09,42.93,43.5,42.57,42.67,11985868.0
2018-10-10,42.95,43.13,39.88,39.98,19634540.0
